dhcp_fingerprint_id,device_id,satori_name,device_type,device_vendor,dhcp_option55
54841,91,2Wire Residential Gateway,Router,"2Wire, Inc.","1,2,3,6,15,88,42,44,46,47"
714,181,3Com IP Phone,VoIP Phone,3Com,"1,3,6,15,35,66,58,59,120,184,26"
32951,29763,Adobe Flash Player,Miscellaneous,Adobe,43
104,5510,Alcatel 4037 Advanced Reflex IP Phone,VoIP Phone,Alcatel-Lucent,"1,28,54,58,59,60,43,3"
104,5510,Alcatel 4037 Advanced Reflex IP Phone,VoIP Phone,Alcatel-Lucent,"1,28,54,58,59,60,43,3"
2287,5510,Alcatel IP Touch 8 Series Phones,VoIP Phone,Alcatel-Lucent,"1,3,28,43,58,59"
2287,5510,Alcatel IP Touch 8 Series Phones,VoIP Phone,Alcatel-Lucent,"1,3,28,43,58,59"
450,9417,Amazon Fire OS 3.0,eBook Reader,Amazon,"1,33,3,6,15,28,51,58,59"
450,9417,Amazon Fire OS 3.0,eBook Reader,Amazon,"1,33,3,6,15,28,51,58,59"
467,9417,Amazon Fire OS 4.5.5,tablet,Amazon,"1,33,3,6,15,26,28,51,58,59"
467,9417,Amazon Fire OS 5.2.x,Smart TV,Amazon,"1,33,3,6,15,26,28,51,58,59"
450,9417,Amazon Fire OS 5.6.x,Tablet,Amazon,"1,33,3,6,15,28,51,58,59"
450,9417,Amazon Fire OS 5.6.x,Tablet,Amazon,"1,33,3,6,15,28,51,58,59"
467,9417,Amazon Fire OS 5.6.x,Tablet,Amazon,"1,33,3,6,15,26,28,51,58,59"
6320,30006,Amcrest IP3M-943 Camera,IP Network Camera,Amcrest,"1,3,4,5,6,12,15,28,42"
6320,30006,Amcrest IP3M-943 Camera,IP Network Camera,Amcrest,"1,3,4,5,6,12,15,28,42"
45444,142,Amino AmiNET110,IPTV,Amino Technologies,"1,2,3,6,12,15,17,23,28,29,31,33,40,41,42,43"
301,142,Amino AmiNET110,IPTV,Amino Technologies,"1,3,6,12,15,17,23,28,29,31,33,40,41,42,43"
45444,142,Amino AmiNET110,IPTV,Amino Technologies,"1,2,3,6,12,15,17,23,28,29,31,33,40,41,42,43"
7521,243,Anaconda,,,"1,3,6,15,28,12,7,9,42,48,49,26"
426,202,Android 0.9,Smartphone,,"1,3,6,28"
426,202,Android 0.9,Smartphone,,"1,3,6,28"
448,202,Android 1.0,Smartphone,,"1,3,6,28,33,51,58,59,121"
448,202,Android 1.0,Smartphone,,"1,3,6,28,33,51,58,59,121"
448,202,Android 1.5-2.1,Smartphone,,"1,3,6,28,33,51,58,59,121"
448,202,Android 1.5-2.1,Smartphone,,"1,3,6,28,33,51,58,59,121"
426,202,Android 1.5-2.1,Smartphone,,"1,3,6,28"
13149,202,Android 10.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43"
13149,202,Android 10.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43"
72622,202,Android 10.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43,108"
72622,202,Android 10.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43,108"
72473,202,Android 11.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43,114"
13149,202,Android 11.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43"
72473,202,Android 11.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43,114"
72620,202,Android 11.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43,114,108"
72620,202,Android 11.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43,114,108"
72620,202,Android 12.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43,114,108"
72620,202,Android 12.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43,114,108"
72620,202,Android 13.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43,114,108"
72620,202,Android 13.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43,114,108"
72620,202,Android 14.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43,114,108"
445,202,Android 2.2.x,Smartphone,,"1,121,33,3,6,28,51,58,59"
445,202,Android 2.2.x,Smartphone,,"1,121,33,3,6,28,51,58,59"
444,202,Android 2.3.x,Smartphone,,"1,121,33,3,6,15,28,51,58,59,119"
444,202,Android 2.3.x,Smartphone,,"1,121,33,3,6,15,28,51,58,59,119"
456,202,Android 3.0.x,Smartphone,,"1,33,3,6,28,51,58,59"
456,202,Android 3.0.x,Smartphone,,"1,33,3,6,28,51,58,59"
3828,202,Android 6.0.x,Smartphone,,"1,3,6,15,26,28,51,58,59"
3828,202,Android 6.0.x,Smartphone,,"1,3,6,15,26,28,51,58,59"
13149,202,Android 7.0.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43"
13149,202,Android 7.0.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43"
13149,202,Android 7.1.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43"
13149,202,Android 7.1.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43"
13149,202,Android 8.0.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43"
13149,202,Android 8.0.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43"
13149,202,Android 8.1.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43"
13149,202,Android 8.1.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43"
13149,202,Android 9.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43"
13149,202,Android 9.x,Smartphone,,"1,3,6,15,26,28,51,58,59,43"
11878,,Anonym.OS,,,"1,28,3"
11878,,Anonym.OS,,,"1,28,3"
11883,,APC UPS,UPS,American Power Conversion Corp.,"6,3,1,15,66,67,13,43,58,59,42,2,12"
11883,,APC UPS,UPS,American Power Conversion Corp.,"6,3,1,15,66,67,13,43,58,59,42,2,12"
490,,APC UPS,UPS,American Power Conversion Corp.,"6,3,1,15,66,67,13,44,12,43,58,59,42,2"
60438,86,Apple Airport,Wireless Router,"Apple, Inc.","28,3,6,15"
9299,86,Apple Airport,Wireless Router,"Apple, Inc.","1,28,3,6,15"
183,86,Apple Airport,Wireless Router,"Apple, Inc.","1,2,3,15,6,12,44"
183,86,Apple Airport Extreme,Wireless Router,"Apple, Inc.","1,2,3,15,6,12,44"
1231,86,Apple Netboot,,,"1,3,43,60"
513,86,Apple Netboot,,,"1,3,67,43,60"
1231,86,Apple Netboot,,,"1,3,43,60"
513,86,Apple Netboot,,,"1,3,67,43,60"
56311,42,Avaya IP Phone,VoIP Phone,"Avaya, Inc.","1,3,6,15,66,69,43,176"
56312,42,Avaya IP Phone,VoIP Phone,"Avaya, Inc.","1,3,7,6,15,66,69,43,176"
5320,42,Avaya IP Phone,VoIP Phone,"Avaya, Inc.","1,28,3,6,15,42,242"
5320,42,Avaya IP Phone,VoIP Phone,"Avaya, Inc.","1,28,3,6,15,42,242"
1021,42,Avaya IP Phone,VoIP Phone,"Avaya, Inc.","1,28,3,6,15,42,43,176,66"
1021,42,Avaya IP Phone,VoIP Phone,"Avaya, Inc.","1,28,3,6,15,42,43,176,66"
555,15633,Axis 212 PTZ,IP Network Camera,Axis Communications,"1,3,6,12,15,28,40,41,42"
555,15633,Axis 216FD,IP Network Camera,Axis Communications,"1,3,6,12,15,28,40,41,42"
555,15633,Axis 216FD,IP Network Camera,Axis Communications,"1,3,6,12,15,28,40,41,42"
555,15633,AXIS 241Q Video Server,IP Network Camera,Axis Communications,"1,3,6,12,15,28,40,41,42"
419,15633,AXIS M3007,IP Network Camera,Axis Communications,"1,3,6,12,15,28,42"
419,15633,AXIS M3203,IP Network Camera,Axis Communications,"1,3,6,12,15,28,42"
419,15633,AXIS M5065,IP Network Camera,Axis Communications,"1,3,6,12,15,28,42"
555,15633,Axis Network Camera,IP Network Camera,Axis Communications,"1,3,6,12,15,28,40,41,42"
419,15633,AXIS P3224-LV,IP Network Camera,Axis Communications,"1,3,6,12,15,28,42"
419,15633,AXIS P3304,IP Network Camera,Axis Communications,"1,3,6,12,15,28,42"
272,,Backtrack 1.0,,,"1,3,6,12,15,17,23,28,29,31,33,40,41,42"
272,,Backtrack 1.0,,,"1,3,6,12,15,17,23,28,29,31,33,40,41,42"
76,98973,BATM VoIP Adapter,VoIP Gateway,BATM,"1,3,6,15,12"
168,106,Belkin F5D8235-4 v2,Wireless Router,Belkin,"1,3,6,12,15,28,44"
555,106,Belkin Skype Phone,VoIP Phone,Belkin,"1,3,6,12,15,28,40,41,42"
76,239,BeOS 4.x,,,"1,3,6,15,12"
76,239,BeOS 4.x,,,"1,3,6,15,12"
60455,239,BeOS 5.0,,,"1,3,6,15,12,19"
60455,239,BeOS 5.0,,,"1,3,6,15,12,19"
284,16122,Biamp Tesira,DSP,Biamp,"1,121,33,3,6,12,15,26,28,51,54,58,59,119"
270,16122,Biamp Tesira ForteX,,Biamp,"1,121,33,3,6,12,15,26,28,42,51,54,58,59,119"
270,16122,Biamp Tesira ForteX,,Biamp,"1,121,33,3,6,12,15,26,28,42,51,54,58,59,119"
42921,,Big-IP F5,Load Balancer,,"1,28,3,15,6,12,42,26"
289,192,BlackBerry,Smartphone,BlackBerry,"1,3,6,15"
289,192,BlackBerry,Smartphone,BlackBerry,"1,3,6,15"
60442,192,BlackBerry,Smartphone,BlackBerry,"56,6,1,3,15"
246,192,BlackBerry Smartphone,Smartphone,BlackBerry,"1,28,2,3,15,6,12"
246,192,BlackBerry Smartphone,Smartphone,BlackBerry,"1,28,2,3,15,6,12"
246,192,BlackBerry Tablet,Smartphone,BlackBerry,"1,28,2,3,15,6,12"
246,192,BlackBerry Tablet,Smartphone,BlackBerry,"1,28,2,3,15,6,12"
60466,94,Bluesocket BSC,Wireless Router,Bluesocket,"1,28,3,15,6,12,44"
72609,7554,BrightSign AU335,Digital Signage,BrightSign,"1,121,3,6,12,15,26,28,33,42,43,51,58,59,119"
5565,7554,BrightSign HD1022,Digital Signage,BrightSign,"1,121,33,3,6,12,15,28,43,51,58,59,119"
42715,7554,BrightSign HD223,Digital Signage,BrightSign,"1,121,33,3,6,12,15,26,28,43,51,58,59,119"
45407,7554,BrightSign HD223,Digital Signage,BrightSign,"1,121,33,3,6,12,15,26,28,42,43,51,58,59,119"
45407,7554,BrightSign HD223,Digital Signage,BrightSign,"1,121,33,3,6,12,15,26,28,42,43,51,58,59,119"
72609,7554,BrightSign HD225,Digital Signage,BrightSign,"1,121,3,6,12,15,26,28,33,42,43,51,58,59,119"
45407,7554,BrightSign LS424,Digital Signage,BrightSign,"1,121,33,3,6,12,15,26,28,42,43,51,58,59,119"
45407,7554,BrightSign LS424,Digital Signage,BrightSign,"1,121,33,3,6,12,15,26,28,42,43,51,58,59,119"
72609,7554,BrightSign XD234,Digital Signage,BrightSign,"1,121,3,6,12,15,26,28,33,42,43,51,58,59,119"
72609,7554,BrightSign XD234,Digital Signage,BrightSign,"1,121,3,6,12,15,26,28,33,42,43,51,58,59,119"
72609,7554,BrightSign XT1144,Digital Signage,BrightSign,"1,121,3,6,12,15,26,28,33,42,43,51,58,59,119"
72609,7554,BrightSign XT1144,Digital Signage,BrightSign,"1,121,3,6,12,15,26,28,33,42,43,51,58,59,119"
11681,161,Brother Printer,Printer,"Brother Industries, Ltd.","1,3,6,12,15,28,42,40,44,46"
11681,161,Brother Printer,Printer,"Brother Industries, Ltd.","1,3,6,12,15,28,42,40,44,46"
365,161,Brother Printer,Printer,"Brother Industries, Ltd.","6,3,1,15,66,67,13,12,44"
365,161,Brother Printer 2,Printer,"Brother Industries, Ltd.","6,3,1,15,66,67,13,12,44"
50180,93,Buffalo Wireless Access Point,Wireless Access Point,"Buffalo Technology, Inc.","1,3,6,12,15,23,28,29,31,33,40,41,42,44"
289,103003,Cannon Image Runner 6755,Printer,Cannon,"1,3,6,15"
11876,103003,Cannon Image Runner C3826,Printer,Cannon,"1,3,6,15,44"
42928,103003,Cannon Image Runner C3826,Printer,Cannon,"1,3,6,15,44,69"
48664,103003,Cannon Image Runner C5550 III,Printer,Cannon,"1,3,6,12,15,44"
42602,103003,Cannon Image Runner C5850,Printer,Cannon,"12,15"
11876,103003,Cannon Image Runner C5850,Printer,Cannon,"1,3,6,15,44"
60458,158,Canon Printer,Printer,"Canon, Inc.","3,6,15,44,47"
342,158,Canon Printer,Printer,"Canon, Inc.","1,3,6,15,44,47"
284,14805,Chromebook,,,"1,121,33,3,6,12,15,26,28,51,54,58,59,119"
285,14805,Chromebook,,,"1,121,33,3,6,12,15,26,28,51,54,58,59,119,252"
284,14805,Chromebook,,,"1,121,33,3,6,12,15,26,28,51,54,58,59,119"
285,14805,Chromebook,,,"1,121,33,3,6,12,15,26,28,51,54,58,59,119,252"
450,33640,Chromecast,Digital Media Player,"Google, Inc.","1,33,3,6,15,28,51,58,59"
450,33640,Chromecast,Digital Media Player,"Google, Inc.","1,33,3,6,15,28,51,58,59"
11247,41,Cisco 7841 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,42,66,6,3,15,150,35"
42711,41,Cisco 7841 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,35,66,150,2,7,42,43,58,59,159,160"
42711,41,Cisco 7841 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,35,66,150,2,7,42,43,58,59,159,160"
66,41,Cisco 7905 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,42,66,150"
67,41,Cisco 7905 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,42,66,51,150"
66,41,Cisco 7905 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,42,66,150"
1014,41,Cisco 7910 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
1014,41,Cisco 7910 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
1014,41,Cisco 7911x IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
1014,41,Cisco 7911x IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
67,41,Cisco 7912 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,42,66,51,150"
66,41,Cisco 7912 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,42,66,150"
64,41,Cisco 7912 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,35,66,150"
66,41,Cisco 7912 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,42,66,150"
64,41,Cisco 7912 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,35,66,150"
65,41,Cisco 7912 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,35,66,51,150"
2053,41,Cisco 7935 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,28,66,6,15,3,35,150"
2053,41,Cisco 7935 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,28,66,6,15,3,35,150"
64,41,Cisco 7937G IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,35,66,150"
64,41,Cisco 7937G IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,35,66,150"
1014,41,Cisco 7940/7960x IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
69,41,Cisco 7940/7960x IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35,151"
1014,41,Cisco 7940/7960x IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
69,41,Cisco 7940/7960x IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35,151"
1014,41,Cisco 7945x IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
1014,41,Cisco 7961G IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
1014,41,Cisco 7961G IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
1014,41,Cisco 7965G IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
1014,41,Cisco 8831 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
11247,41,Cisco 8841 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,42,66,6,3,15,150,35"
55153,41,Cisco 8841 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,28,2,121,15,6,12,40,41,42,26,119,3,121,249,33,252,42,17"
42711,41,Cisco 8841 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,35,66,150,2,7,42,43,58,59,159,160"
42711,41,Cisco 8851 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,35,66,150,2,7,42,43,58,59,159,160"
2037,41,Cisco 8945 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,15,6,12,35,66,150"
2037,41,Cisco 8945 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,15,6,12,35,66,150"
1394,41,Cisco Aironet 1130,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,33,150,43"
1394,41,Cisco Aironet 1130,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,33,150,43"
156,41,Cisco Aironet 1130,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 1130,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 1140,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 1140,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 1200,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
1394,41,Cisco Aironet 1200,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,33,150,43"
156,41,Cisco Aironet 1200,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
1394,41,Cisco Aironet 1200,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,33,150,43"
1394,41,Cisco Aironet 1240,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,33,150,43"
10262,41,Cisco Aironet 1240,Wireless Access Point,"Cisco Systems, Inc.","1,66,6,3,67,150,43"
1394,41,Cisco Aironet 1240,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,33,150,43"
10262,41,Cisco Aironet 1240,Wireless Access Point,"Cisco Systems, Inc.","1,66,6,3,67,150,43"
1394,41,Cisco Aironet 1310,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,33,150,43"
156,41,Cisco Aironet 1310,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
1394,41,Cisco Aironet 1310,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,33,150,43"
156,41,Cisco Aironet 1310,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
1856,41,Cisco Aironet 1310,Wireless Access Point,"Cisco Systems, Inc.","1,66,6,15,44,3,67,12,33,150,43"
11488,41,Cisco Aironet 1500,Wireless Access Point,"Cisco Systems, Inc.","1,28,3,43,6,15"
68885,41,Cisco Aironet 1500,Wireless Access Point,"Cisco Systems, Inc.","1,28,3,43,6,15,7"
11488,41,Cisco Aironet 1500,Wireless Access Point,"Cisco Systems, Inc.","1,28,3,43,6,15"
156,41,Cisco Aironet 1530,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 1530,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 1550,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 1550,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
47410,41,Cisco Aironet 1560,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
156,41,Cisco Aironet 1570,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
47410,41,Cisco Aironet 1815,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
47410,41,Cisco Aironet 1815,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
47410,41,Cisco Aironet 1815,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
42794,41,Cisco Aironet 1850,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,43"
156,41,Cisco Aironet 2600,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 2600,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 2700,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 2700,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
42794,41,Cisco Aironet 2800,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,43"
42794,41,Cisco Aironet 2800,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,43"
47410,41,Cisco Aironet 2800,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
47410,41,Cisco Aironet 2800,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
47410,41,Cisco Aironet 2800,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
156,41,Cisco Aironet 3500,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 3500,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 3600,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
289,41,Cisco Aironet 4800,Wireless Access Point,"Cisco Systems, Inc.","1,3,6,15"
60441,41,Cisco Aironet 4800,Wireless Access Point,"Cisco Systems, Inc.","1,28,3,6,15,67,4"
45415,41,Cisco Aironet 4800,Wireless Access Point,"Cisco Systems, Inc.","1,28,3,6,15,67,4,7"
45415,41,Cisco Aironet 4800,Wireless Access Point,"Cisco Systems, Inc.","1,28,3,6,15,67,4,7"
156,41,Cisco Aironet 702,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 702,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
47410,41,Cisco Aironet 9105AXx,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
47410,41,Cisco Aironet 9105AXx,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
47410,41,Cisco Aironet 9120AX,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
47410,41,Cisco Aironet 9120AX,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
47410,41,Cisco Aironet 9120AX,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
47410,41,Cisco Aironet 9164,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
66,41,Cisco ATA 186,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,42,66,150"
66,41,Cisco ATA 186,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,42,66,150"
67,41,Cisco ATA 186,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,42,66,51,150"
142,41,Cisco ATA 188,VoIP Phone,"Cisco Systems, Inc.","1,3,6,12,15,42,66,150"
142,41,Cisco ATA 188,VoIP Phone,"Cisco Systems, Inc.","1,3,6,12,15,42,66,150"
49319,41,Cisco Catalyst 29xx,Switch,"Cisco Systems, Inc.","1,66,6,3,67,12,150"
44063,41,Cisco Catalyst 29xx,Switch,"Cisco Systems, Inc.","1,66,6,3,67"
10262,41,Cisco Catalyst 29xx,Switch,"Cisco Systems, Inc.","1,66,6,3,67,150,43"
2045,41,Cisco Catalyst 35xx,Switch,"Cisco Systems, Inc.","1,6,15,44,3,33"
60443,41,Cisco Catalyst 35xx,Switch,"Cisco Systems, Inc.","1,6,15,44,52"
66,41,Cisco IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,42,66,150"
1014,41,Cisco IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
45415,41,Cisco Wireless Access Point,Wireless Access Point,"Cisco Systems, Inc.","1,28,3,6,15,67,4,7"
1394,41,Cisco Wireless Access Point,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,33,150,43"
19348,41,Cisco Wireless Access Point,Wireless Access Point,"Cisco Systems, Inc.","1,66,6,15,44,3,67,33,150,43"
1856,41,Cisco Wireless Access Point,Wireless Access Point,"Cisco Systems, Inc.","1,66,6,15,44,3,67,12,33,150,43"
